"키워드(2026.06.01.~2026.06.30.),2439317",,,,,,,,,
일별,시간대별,캠페인,키워드,PC/모바일 매체,노출수,클릭수,클릭률(%),평균 CPC,총비용
2026.06.02.,00시~01시,개인회생_에이스,개인회생자격조건,모바일,1,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생자격조건,모바일,1,0,0,0,0
2026.06.23.,00시~01시,개인회생_에이스,개인회생잘하는곳,PC,1,0,0,0,0
2026.06.09.,00시~01시,개인회생_에이스,개인회생재신청,PC,1,0,0,0,0
2026.06.15.,00시~01시,개인회생_에이스,개인회생재신청,PC,2,0,0,0,0
2026.06.19.,00시~01시,개인회생_에이스,개인회생재신청,PC,1,0,0,0,0
2026.06.08.,00시~01시,개인회생_에이스,개인회생재신청,모바일,1,0,0,0,0
2026.06.09.,00시~01시,개인회생_에이스,개인회생재신청,모바일,1,0,0,0,0
2026.06.24.,00시~01시,개인회생_에이스,개인회생재신청,모바일,1,0,0,0,0
2026.06.08.,00시~01시,개인회생_에이스,개인회생저렴한곳,PC,1,0,0,0,0
2026.06.23.,00시~01시,개인회생_에이스,개인회생저렴한곳,PC,1,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생저렴한곳,모바일,1,0,0,0,0
2026.06.25.,00시~01시,개인회생_에이스,개인회생전문,PC,3,0,0,0,0
2026.06.30.,00시~01시,개인회생_에이스,개인회생전문,모바일,1,0,0,0,0
2026.06.01.,00시~01시,개인회생_에이스,개인회생절차,PC,1,0,0,0,0
2026.06.02.,00시~01시,개인회생_에이스,개인회생절차,PC,1,0,0,0,0
2026.06.04.,00시~01시,개인회생_에이스,개인회생절차,PC,1,0,0,0,0
2026.06.17.,00시~01시,개인회생_에이스,개인회생절차,PC,3,1,33.33,4343,4343
2026.06.01.,00시~01시,개인회생_에이스,개인회생절차,모바일,1,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생제도,PC,1,0,0,0,0
2026.06.08.,00시~01시,개인회생_에이스,개인회생제도,PC,1,0,0,0,0
2026.06.29.,00시~01시,개인회생_에이스,개인회생제도,PC,1,0,0,0,0
2026.06.02.,00시~01시,개인회생_에이스,개인회생조건,PC,1,0,0,0,0
2026.06.11.,00시~01시,개인회생_에이스,개인회생조건,PC,1,0,0,0,0
2026.06.03.,00시~01시,개인회생_에이스,개인회생파산,PC,1,0,0,0,0
2026.06.22.,00시~01시,개인회생_에이스,개인회생파산,PC,2,0,0,0,0
